Event	Date/Time	Latitude	Longitude	Depth water [m]	Sample label	Press [dbar]	Temp [°C]	Sal	OXYGEN [µmol/kg]	Sal	OXYGEN [µmol/kg]	NITRAT [µmol/kg]	NITRIT [µmol/kg]	N2O [nmol/kg]	SILCAT [µmol/kg]	PHSPHT [µmol/kg]	δ15N NO2 [‰ air]	δ15N NO3 [‰ air]	δ15N NO2+NO3 [‰ air]
M77/4-CTD9	2009-01-29T20:07	-14.000000	-80.250167	11.0	200188	11.1	24.084	35.148	222.0		216.2	0.03	0.00		0.58	0.53		7.16	7.16
M77/4-CTD9	2009-01-29T20:07	-14.000000	-80.250167	19.4	200187	19.6	24.030	35.148	221.5		222.1	0.00	0.00		0.42	0.53		8.66	8.66
M77/4-CTD9	2009-01-29T20:07	-14.000000	-80.250167	33.4	200186	33.7	19.830	35.242	272.7		269.0	2.89	0.03		1.09	0.61		18.24	18.24
M77/4-CTD9	2009-01-29T20:07	-14.000000	-80.250167	51.2	200185	51.7	17.920	35.159	232.2		231.8	2.54	0.49		0.53	0.64		13.13	13.13
M77/4-CTD9	2009-01-29T20:07	-14.000000	-80.250167	77.1	200184	77.8	16.644	35.045	186.5		182.4	14.85	0.07		3.87	1.46		9.43	9.43
M77/4-CTD9	2009-01-29T20:07	-14.000000	-80.250167	102.2	200183	103.1	14.670	34.888	80.4		75.9	23.22	0.02		10.03	2.26		9.02	9.02
M77/4-CTD9	2009-01-29T20:07	-14.000000	-80.250167	122.6	200182	123.7	13.664	34.842	19.8		17.4	24.10	0.05		16.13	2.63		11.84	11.84
M77/4-CTD9	2009-01-29T20:07	-14.000000	-80.250167	151.1	200181	152.5	13.010	34.888	2.9		2.4	19.58	2.89		23.71	2.66	-14.74	19.31	14.90
M77/4-CTD9	2009-01-29T20:07	-14.000000	-80.250167	175.2	200180	176.8	12.564	34.875	3.0		2.4	22.43	2.25		25.08	2.64	-18.67	17.05	13.78
M77/4-CTD9	2009-01-29T20:07	-14.000000	-80.250167	198.1	200179	200.0	12.164	34.851	3.0		2.4	22.82	3.39		25.97	2.67	-19.37	19.71	14.63
M77/4-CTD9	2009-01-29T20:07	-14.000000	-80.250167	245.7	200178	248.0	11.451	34.817	3.0	34.815	2.9	28.04	3.59		26.95	2.66	-23.21	14.98	10.62
M77/4-CTD9	2009-01-29T20:07	-14.000000	-80.250167	296.9	200177	299.8	10.933	34.792	3.1		#3.4	#30.72	#4.26		#28.78	#2.69	-21.55	14.29	9.91
M77/4-CTD9	2009-01-29T20:07	-14.000000	-80.250167	346.5	200176	349.9	10.223	34.742	3.2		2.4	34.04	0.86		30.40	2.80	-34.00	9.24	8.17
M77/4-CTD9	2009-01-29T20:07	-14.000000	-80.250167	395.1	200175	399.0	9.546	34.702	3.2		2.4	36.50	0.05		33.05	2.88		7.30	7.30
M77/4-CTD9	2009-01-29T20:07	-14.000000	-80.250167	445.5	200174	449.9	8.819	34.650	5.2		4.8	39.85	0.03		34.73	2.97			
M77/4-CTD9	2009-01-29T20:07	-14.000000	-80.250167	493.8	200173	498.8	8.128	34.615	6.4		6.8	41.42	0.02		40.14	3.08		7.66	7.66
M77/4-CTD9	2009-01-29T20:07	-14.000000	-80.250167	579.3	200172	585.3	7.114	34.555	16.9	34.559	14.4	43.49	0.01		43.78	3.18			
M77/4-CTD9	2009-01-29T20:07	-14.000000	-80.250167	691.9	200171	699.2	6.073	34.522	26.3		23.0	45.46	0.01		52.24	3.26		6.78	6.78
M77/4-CTD9	2009-01-29T20:07	-14.000000	-80.250167	790.8	200170	799.3	5.474	34.514	35.2		34.1	45.36	0.01		59.72	3.25			
M77/4-CTD9	2009-01-29T20:07	-14.000000	-80.250167	889.1	200169	898.9	4.953	34.527	41.5		41.0	46.15	0.01		69.95	3.25			
M77/4-CTD9	2009-01-29T20:07	-14.000000	-80.250167	1001.9	200168	1013.2	4.507	34.536	52.6	34.537	#51.8	#44.29	#0.01		#77.96	#3.22		6.61	6.61
M77/4-CTD10	2009-01-30T01:00	-14.000000	-80.998833	1.2	200239	1.2	24.507	35.173	217.0		#216.6	#0.02	#0.00	#5.20	#0.43	#0.54			
M77/4-CTD10	2009-01-30T01:00	-14.000000	-80.998833	9.9	200238	10.0	24.393	35.174	217.0	35.176	216.3	0.00	0.00	#5.05	0.45	0.56			
M77/4-CTD10	2009-01-30T01:00	-14.000000	-80.998833	20.1	200237	20.3	24.229	35.175	217.3		219.7	0.03	0.01	#5.29	0.37	0.56			
M77/4-CTD10	2009-01-30T01:00	-14.000000	-80.998833	49.4	200236	49.8	17.869	35.088	230.2		224.9	3.82	0.41	#7.20	1.26	0.82	3.35	9.11	8.54
M77/4-CTD10	2009-01-30T01:00	-14.000000	-80.998833	74.6	200235	75.3	16.562	34.986	193.5					#13.11			2.27		11.14
M77/4-CTD10	2009-01-30T01:00	-14.000000	-80.998833	99.7	200234	100.6	14.761	34.886	96.4		60.8	21.54	0.06	#33.32	12.20	2.32		11.04	11.04
M77/4-CTD10	2009-01-30T01:00	-14.000000	-80.998833	124.3	200233	125.4	13.558	34.829	18.5					#43.77				10.92	10.92
M77/4-CTD10	2009-01-30T01:00	-14.000000	-80.998833	149.5	200232	150.9	13.272	34.892	3.3		1.9	20.36	0.77		22.52	2.68			
